START: 0xb7fdf1d0
mov eax, esp	0xb7fdf1d0
call 0xb7fe2c80	0xb7fdf1d2
START: 0xb7fe2c80
push ebp	0xb7fe2c80
mov ebp, esp	0xb7fe2c81
push edi	0xb7fe2c83
push esi	0xb7fe2c84
push ebx	0xb7fe2c85
sub esp, 0x5c	0xb7fe2c86
call 0xb7ff6bab	0xb7fe2c89
START: 0xb7ff6bab
mov ebx, dword ptr [esp]	0xb7ff6bab
ret 	0xb7ff6bae
START: 0xb7fe2c8e
add ebx, 0x1c366	0xb7fe2c8e
mov dword ptr [ebp-0x48], eax	0xb7fe2c94
rdtsc 	0xb7fe2c97
mov dword ptr [ebx-0x17c], eax	0xb7fe2c99
mov eax, dword ptr [ebx-0xd8]	0xb7fe2c9f
lea esi, ptr [ebx-0xd8]	0xb7fe2ca5
mov dword ptr [ebx-0x178], edx	0xb7fe2cab
mov edx, esi	0xb7fe2cb1
sub edx, dword ptr [ebx]	0xb7fe2cb3
mov dword ptr [ebx+0x550], esi	0xb7fe2cb9
test eax, eax	0xb7fe2cbf
mov dword ptr [ebx+0x548], edx	0xb7fe2cc1
jz 0xb7fe2d26	0xb7fe2cc7
mov edx, esi	0xb7fe2cc9
lea edi, ptr [ebx-0xd0]	0xb7fe2ccb
jmp 0xb7fe2d05	0xb7fe2cd1
START: 0xb7fe2d05
cmp eax, 0x21	0xb7fe2d05
jnbe 0xb7fe2cd8	0xb7fe2d08
mov dword ptr [ebx+eax*4+0x568], edx	0xb7fe2d0a
add edx, 0x8	0xb7fe2d11
mov eax, edx	0xb7fe2d14
sub eax, esi	0xb7fe2d16
mov eax, dword ptr [edi+eax*1-0x8]	0xb7fe2d18
test eax, eax	0xb7fe2d1c
jnz 0xb7fe2d05	0xb7fe2d1e
mov edx, dword ptr [ebx+0x548]	0xb7fe2d20
test edx, edx	0xb7fe2d26
jz 0xb7fe2d92	0xb7fe2d28
START: 0xb7fe2cd8
mov ecx, 0x6fffffff	0xb7fe2cd8
sub ecx, eax	0xb7fe2cdd
cmp ecx, 0xf	0xb7fe2cdf
jnbe 0xb7fe2f28	0xb7fe2ce2
mov ecx, 0x7000016d	0xb7fe2ce8
sub ecx, eax	0xb7fe2ced
mov dword ptr [ebx+ecx*4+0x38], edx	0xb7fe2cef
add edx, 0x8	0xb7fe2cf6
mov eax, edx	0xb7fe2cf9
sub eax, esi	0xb7fe2cfb
mov eax, dword ptr [edi+eax*1-0x8]	0xb7fe2cfd
test eax, eax	0xb7fe2d01
jz 0xb7fe2d20	0xb7fe2d03
cmp eax, 0x21	0xb7fe2d05
jnbe 0xb7fe2cd8	0xb7fe2d08
START: 0xb7fe2f28
lea ecx, ptr [eax+eax*1]	0xb7fe2f28
sar ecx, 0x1	0xb7fe2f2b
cmp ecx, 0xfffffffc	0xb7fe2f2d
jbe 0xb7fe2f40	0xb7fe2f30
not ecx	0xb7fe2f32
mov dword ptr [ebx+ecx*4+0x630], edx	0xb7fe2f34
jmp 0xb7fe2cf6	0xb7fe2f3b
START: 0xb7fe2f40
mov ecx, 0x6ffffdff	0xb7fe2f40
sub ecx, eax	0xb7fe2f45
cmp ecx, 0xb	0xb7fe2f47
jnbe 0xb7fe3098	0xb7fe2f4a
add eax, 0x100001cc	0xb7fe2f50
neg eax	0xb7fe2f55
mov dword ptr [ebx+eax*4+0x568], edx	0xb7fe2f57
jmp 0xb7fe2cf6	0xb7fe2f5e
START: 0xb7fe3098
mov ecx, 0x6ffffeff	0xb7fe3098
sub ecx, eax	0xb7fe309d
cmp ecx, 0xa	0xb7fe309f
jnbe 0xb7fe2cf6	0xb7fe30a2
add eax, 0x100000c0	0xb7fe30a8
neg eax	0xb7fe30ad
mov dword ptr [ebx+eax*4+0x568], edx	0xb7fe30af
jmp 0xb7fe2d11	0xb7fe30b6
START: 0xb7fe2d11
add edx, 0x8	0xb7fe2d11
mov eax, edx	0xb7fe2d14
sub eax, esi	0xb7fe2d16
mov eax, dword ptr [edi+eax*1-0x8]	0xb7fe2d18
test eax, eax	0xb7fe2d1c
jnz 0xb7fe2d05	0xb7fe2d1e
mov edx, dword ptr [ebx+0x548]	0xb7fe2d20
test edx, edx	0xb7fe2d26
jz 0xb7fe2d92	0xb7fe2d28
mov eax, dword ptr [ebx+0x578]	0xb7fe2d2a
test eax, eax	0xb7fe2d30
jz 0xb7fe2d37	0xb7fe2d32
START: 0xb7fe2d20
mov edx, dword ptr [ebx+0x548]	0xb7fe2d20
test edx, edx	0xb7fe2d26
jz 0xb7fe2d92	0xb7fe2d28
mov eax, dword ptr [ebx+0x578]	0xb7fe2d2a
test eax, eax	0xb7fe2d30
jz 0xb7fe2d37	0xb7fe2d32
add dword ptr [eax+0x4], edx	0xb7fe2d34
mov eax, dword ptr [ebx+0x574]	0xb7fe2d37
test eax, eax	0xb7fe2d3d
jz 0xb7fe2d44	0xb7fe2d3f
START: 0xb7fe2d41
add dword ptr [eax+0x4], edx	0xb7fe2d41
mov eax, dword ptr [ebx+0x57c]	0xb7fe2d44
test eax, eax	0xb7fe2d4a
jz 0xb7fe2d51	0xb7fe2d4c
add dword ptr [eax+0x4], edx	0xb7fe2d4e
mov eax, dword ptr [ebx+0x580]	0xb7fe2d51
test eax, eax	0xb7fe2d57
jz 0xb7fe2d5e	0xb7fe2d59
add dword ptr [eax+0x4], edx	0xb7fe2d5b
mov eax, dword ptr [ebx+0x5ac]	0xb7fe2d5e
test eax, eax	0xb7fe2d64
jz 0xb7fe2d6b	0xb7fe2d66
START: 0xb7fe2d68
add dword ptr [eax+0x4], edx	0xb7fe2d68
mov eax, dword ptr [ebx+0x5c4]	0xb7fe2d6b
test eax, eax	0xb7fe2d71
jz 0xb7fe2d78	0xb7fe2d73
add dword ptr [eax+0x4], edx	0xb7fe2d75
mov eax, dword ptr [ebx+0x62c]	0xb7fe2d78
test eax, eax	0xb7fe2d7e
jz 0xb7fe2d85	0xb7fe2d80
add dword ptr [eax+0x4], edx	0xb7fe2d82
mov eax, dword ptr [ebx+0x694]	0xb7fe2d85
test eax, eax	0xb7fe2d8b
jz 0xb7fe2d92	0xb7fe2d8d
START: 0xb7fe2d8f
add dword ptr [eax+0x4], edx	0xb7fe2d8f
mov edx, dword ptr [ebx+0x5b8]	0xb7fe2d92
test edx, edx	0xb7fe2d98
jz 0xb7fe2da6	0xb7fe2d9a
cmp dword ptr [edx+0x4], 0x11	0xb7fe2d9c
jnz 0xb7fe32f2	0xb7fe2da0
mov eax, dword ptr [ebx+0x5ac]	0xb7fe2da6
test eax, eax	0xb7fe2dac
jz 0xb7fe2dc0	0xb7fe2dae
START: 0xb7fe2db0
mov ecx, dword ptr [ebx+0x5b4]	0xb7fe2db0
cmp dword ptr [ecx+0x4], 0x8	0xb7fe2db6
jnz 0xb7fe324a	0xb7fe2dba
mov ecx, dword ptr [ebx+0x600]	0xb7fe2dc0
test ecx, ecx	0xb7fe2dc6
jz 0xb7fe2dd7	0xb7fe2dc8
test dword ptr [ecx+0x4], 0xfffffffe	0xb7fe2dca
jnz 0xb7fe3220	0xb7fe2dd1
START: 0xb7fe2dd7
mov ecx, dword ptr [ebx+0x5e0]	0xb7fe2dd7
test ecx, ecx	0xb7fe2ddd
jz 0xb7fe2dee	0xb7fe2ddf
test dword ptr [ecx+0x4], 0xfffffff7	0xb7fe2de1
jnz 0xb7fe329e	0xb7fe2de8
mov edi, dword ptr [ebx+0x5dc]	0xb7fe2dee
test edi, edi	0xb7fe2df4
jnz 0xb7fe3274	0xb7fe2df6
START: 0xb7fe2dee
mov edi, dword ptr [ebx+0x5dc]	0xb7fe2dee
test edi, edi	0xb7fe2df4
jnz 0xb7fe3274	0xb7fe2df6
mov esi, dword ptr [ebx+0x5a4]	0xb7fe2dfc
test esi, esi	0xb7fe2e02
jnz 0xb7fe31f6	0xb7fe2e04
mov edi, dword ptr [ebx+0x548]	0xb7fe2e0a
test edi, edi	0xb7fe2e10
jnz 0xb7fe2f68	0xb7fe2e12
START: 0xb7fe2f68
test eax, eax	0xb7fe2f68
jz 0xb7fe3154	0xb7fe2f6a
mov esi, dword ptr [ebx+0x604]	0xb7fe2f70
mov ecx, dword ptr [ebx+0x5b0]	0xb7fe2f76
mov eax, dword ptr [eax+0x4]	0xb7fe2f7c
test esi, esi	0xb7fe2f7f
mov ecx, dword ptr [ecx+0x4]	0xb7fe2f81
mov dword ptr [ebp-0x38], esi	0xb7fe2f84
jz 0xb7fe316b	0xb7fe2f87
mov esi, ecx	0xb7fe2f8d
shr esi, 0x3	0xb7fe2f8f
mov dword ptr [ebp-0x30], esi	0xb7fe2f92
mov esi, dword ptr [ebp-0x38]	0xb7fe2f95
mov esi, dword ptr [esi+0x4]	0xb7fe2f98
cmp dword ptr [ebp-0x30], esi	0xb7fe2f9b
cmovbe esi, dword ptr [ebp-0x30]	0xb7fe2f9e
mov dword ptr [ebp-0x30], esi	0xb7fe2fa2
lea esi, ptr [ecx+eax*1]	0xb7fe2fa5
mov dword ptr [ebp-0x38], esi	0xb7fe2fa8
test edx, edx	0xb7fe2fab
jz 0xb7fe2fd1	0xb7fe2fad
START: 0xb7fe2faf
mov edx, dword ptr [ebx+0x5c4]	0xb7fe2faf
mov esi, dword ptr [ebp-0x38]	0xb7fe2fb5
cmp esi, dword ptr [edx+0x4]	0xb7fe2fb8
jnz 0xb7fe32c8	0xb7fe2fbb
mov edx, dword ptr [ebx+0x570]	0xb7fe2fc1
add ecx, eax	0xb7fe2fc7
